,AB,BC,CA,MB,NB,NL,NS,N/A,ON,PE,QC,SK,YT
Loan_5K,6,12,4,0,9,0,3,8,66,0,0,9,0
Loan_10K,18,21,0,6,12,0,6,3,54,0,3,3,0
Loan_20K,21,12,5,3,12,3,9,13,129,9,3,9,0
Loan_30K,15,15,3,3,9,9,18,6,72,0,3,6,3
Loan_40K,18,3,6,6,7,6,6,12,85,0,0,0,0
Loan_50K,6,3,0,0,3,9,6,6,75,6,0,3,0
Loan_60K,3,0,0,6,3,6,0,0,33,0,0,9,0
Loan_70K,3,0,0,0,0,0,0,0,18,0,0,0,0
Loan_80K,3,0,0,3,3,0,0,0,3,0,0,3,3
Loan_100K,0,3,0,0,0,0,0,0,3,0,0,0,0
Loan_120K,0,0,0,0,0,0,0,0,3,0,0,0,0
Age_20s,6,3,0,3,0,3,0,0,21,3,0,0,0
Age_30s,63,27,14,15,55,24,45,37,382,12,3,18,6
Age_40s,18,36,4,9,3,0,3,11,99,0,0,18,0
Age_50s,6,3,0,0,0,0,0,0,33,0,6,6,0
Age_60s,0,0,0,0,0,6,0,0,6,0,0,0,0
MonPay_100,46,39,4,8,13,7,19,18,253,4,5,18,0
MonPay_200,26,13,6,10,18,2,15,10,125,9,1,12,3
MonPay_300,11,8,2,3,10,6,13,8,80,0,3,9,0
MonPay_400,4,6,6,3,5,7,1,6,44,2,0,2,0
MonPay_500,4,3,0,0,9,9,0,6,24,0,0,1,3
MonPay_600,2,0,0,3,3,2,0,0,15,0,0,0,0
