Day Trade,Start Week,End Week,Start Date,End Date,#Samples,Invested (USD),Cashed (USD),Cashed/Invested (%),Last Trade,Last Price (USD),Profit Exit Level (%),Loss Exit Level (%),#Stocks,WINDOW5,WINDOW20,WINDOW50
close,262,765,1/2/2003,12/31/2012,1024045,-123394,126812,102.7699888,BUY + SELL NOW,156.54,115,70,50,7,21,56
close,262,512,1/2/2003,12/31/2007,495695,-42282,42839.5,101.318528,BUY + SELL NOW,81.38,115,70,50,7,21,56
close,383,624,4/25/2005,12/11/2009,490396,-57292.5,59902,104.5546974,BUY + SELL NOW,100.09,115,70,50,7,21,56
close,650,680,6/7/2010,1/7/2011,64674,-15932,16614.5,104.2838313,BUY + SELL NOW,117.09,115,70,50,7,21,56
close,456,491,9/18/2006,12/31/2007,71263,-13878.5,14617.5,105.3247829,BUY + SELL NOW,81.38,115,70,50,7,21,56
close,523,708,1/2/2008,7/22/2011,388970,-58192.5,61318,105.370967,BUY + SELL NOW,147.28,115,70,50,7,21,56
close,403,593,9/12/2005,5/8/2009,384520,-44257.5,45973.5,103.8773089,BUY + SELL NOW,79.19,115,70,50,7,21,56
close,210,667,1/2/2002,10/8/2010,921531,-97725,99596,101.9145562,BUY + SELL NOW,109.06,115,70,50,7,21,56
close,210,669,1/2/2002,10/22/2010,926126,-97725,99651.5,101.9713482,BUY + SELL NOW,110.17,115,70,50,7,21,56
close,210,596,1/2/2002,5/29/2009,771515,-72660,74070,101.940545,BUY + SELL NOW,81.39,115,70,50,7,21,56
close,523,709,1/2/2008,7/29/2011,391124,-58192.5,61232,105.2231817,BUY + SELL NOW,145.56,115,70,50,7,21,56
close,158,209,1/2/2001,12/31/2001,100751,-15098,15256,101.0464962,BUY + SELL NOW,86.31,115,70,50,7,21,56
close,499,516,7/16/2007,11/16/2007,37751,-4114,4211.5,102.3699562,SELL,78.17,115,70,50,7,21,56
close,395,705,7/18/2005,7/1/2011,635612,-78500,82055.5,104.5292994,BUY + SELL NOW,138.57,115,70,50,7,21,56
close,414,531,11/28/2005,12/31/2008,234425,-31682,31284,98.74376618,SELL,64.27,115,70,50,7,21,56
close,338,669,6/14/2004,10/22/2010,673528,-78750.5,81131.5,103.0234729,BUY + SELL NOW,110.17,115,70,50,7,21,56
close,210,479,1/2/2002,12/31/2007,531271,-40806.5,41347.5,101.3257692,SELL,81.38,115,70,50,7,21,56
close,382,573,4/18/2005,12/31/2008,385665,-41508.5,42781,103.0656372,SELL,64.27,115,70,50,7,21,56
close,383,651,4/25/2005,6/18/2010,546720,-67403,69728.5,103.4501432,BUY + SELL NOW,102.48,115,70,50,7,21,56
close,328,634,4/5/2004,2/19/2010,618399,-55139,57717.5,104.6763634,SELL,99.3,115,70,50,7,21,56
close,402,550,9/6/2005,12/31/2008,296377,-35994.5,39100.5,108.6290961,SELL,64.27,115,70,50,7,21,56
close,210,305,1/2/2002,12/31/2003,192163,-22231,21747.5,97.82510908,BUY + SELL NOW,66.28,115,70,50,7,21,56
close,338,571,6/14/2004,12/31/2008,467787,-42536.5,44010,103.4640838,SELL,64.27,115,70,50,7,21,56
close,322,607,2/23/2004,8/14/2009,573998,-53902.5,56311.5,104.4691805,BUY + SELL NOW,91.92,115,70,50,7,21,56
close,262,546,1/2/2003,12/31/2008,565141,-51386.5,51277,99.78690901,SELL,64.27,115,70,50,7,21,56
close,396,715,7/25/2005,9/9/2011,655004,-82461,85554.5,103.7514704,SELL,132.18,115,70,50,7,21,56
close,367,544,1/3/2005,12/31/2008,354248,-31315.5,30738.5,98.15746196,SELL,64.27,115,70,50,7,21,56
close,523,675,1/2/2008,12/3/2010,320231,-45059,46726.5,103.7007035,BUY + SELL NOW,114.59,115,70,50,7,21,56
close,414,448,11/28/2005,7/28/2006,68100,-9526.5,9369.5,98.35196557,SELL,56.28,115,70,50,7,21,56
close,587,599,3/23/2009,6/19/2009,27921,-7694,7787.5,101.2152326,BUY + SELL NOW,82.02,115,70,50,7,21,56
close,262,588,1/2/2003,4/3/2009,651734,-58497.5,60084,102.7120817,BUY + SELL NOW,78.2,115,70,50,7,21,56
close,963,1073,6/6/2016,12/31/2018,222308,-44121,44323.5,100.4589651,SELL,113.01,115,70,50,7,21,56
close,931,1079,10/26/2015,12/31/2018,296967,-57787.5,57160.5,98.91499027,SELL,113.01,115,70,50,7,21,56
