Symbol,Compression Ratio,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book
AES,150,Utilities,10.06,9.96,4.961832,-1.72,12.05,10,6920851212,3001000000,0.65951383,2.2
AFL,150,Financials,83.25,12.24,2.4299066,11.01,91.73,68.8,33422948000,0,1.5429344,1.53
AAL,150,Industrials,48.6,9.92,0.7782101,3.91,59.08,39.21,24594852352,5761000000,0.58022565,6.03
AME,150,Industrials,72.05,27.61,0.75512403,2.94,78.51,51.31,17139651923,1025763000,4.015368,4.54
ARNC,150,Industrials,24.45,20.21,0.9561753,-0.21,31.17,21.755,12123300000,1517000000,0.94214815,
BHGE,150,Energy,27.5,305.56,2.4991322,-0.31,57.73,28.03,32995712852,285000000,1.9390045,2.25
CBS,150,Consumer Discretionary,51.8,12.05,1.3473054,2.81,70.095,52.75,20431395736,2841000000,2.1055017,6.91
COTY,150,Consumer Staples,19.96,24.64,2.860412,-0.63,21.175,14.24,13101112504,211400000,2.0061796,1.37
CVS,150,Consumer Staples,70.55,12.36,2.6899798,4.91,84,66.45,75323141722,11704000000,0.549852,2.13
XRAY,150,Health Care,56.85,22.65,0.60034305,1.99,68.98,52.535,13390513478,-411100000,4.626262,1.8
DVN,150,Energy,34.94,23.93,0.6528836,-6.89,47.25,28.7947,19317380000,3723000000,2.0660408,2.85
EIX,150,Utilities,58.07,13.23,4.0542803,3.96,83.38,58.76,19447670886,4284000000,2.161095,1.59
FITB,150,Financials,31.1,16.9,1.9789734,2.85,33.91,23.2,22437653700,0,2.8802848,1.46
HPQ,150,Information Technology,19.92,12.07,2.6270628,1.49,24.1,15.39,34895294088,3700000000,0.8954903,0.66
JCI,150,Industrials,36.55,14,2.7659574,1.71,44.37,34.51,34822224800,4295000000,1.1415336,1.69
KEY,150,Financials,20.08,14.66,1.9876952,1.12,22.22,16.28,22589744920,0,3.270451,1.55
LEN,150,Consumer Discretionary,59.11,15.35,0.26268265,3.38,72.17,43.647053,14615967194,1405319000,1.1468264,1.76
L,150,Financials,46.05,15.99,4.5131636,1.93,53.59,45.01,16111166935,0,1.5809761,0.85
MPC,150,Energy,62.79,16.06,2.8268552,6.85,73.53,47.39,31633740000,5978000000,0.42713487,2.43
MDLZ,150,Consumer Staples,42.68,19.85,1.9977299,1.91,47.23,39.19,65827817742,4355000000,2.5708609,2.52
STX,150,Information Technology,47.44,11.51,5.085772,2.58,56.45,30.6,14113197720,1811000000,1.3048558,13.33
TXT,150,Industrials,55.54,22.13,0.1381454,1.14,62.19,45,15254672353,1454000000,1.0645695,2.57
KMX,150.0416667,Consumer Discretionary,64.34,19.44,0,3.97,77.64,54.29,11827453706,1339628000,0.6913859,3.55
FE,150.0416667,Utilities,30.64,11.18,4.673807,-14.49,35.22,27.93,13706075072,-5067000000,1.2994481,2.19
FLR,150.0416667,Industrials,55.31,19.9,1.4726508,1.99,62.09,37.0351,7978485059,709756000,0.5516402,2.4
HOG,150.0416667,Consumer Discretionary,47.54,13.7,3.0218647,2.98,63.4,44.52,8158949890,1058817000,1.66195,4.31
HSIC,150.0416667,Health Care,70.85,19.85,0,3.1,93.495,65.28,11452961984,1033985000,1.262194,3.74
KIM,150.0416667,Real Estate,14.01,9.28,7.7134986,0.8,25.15,14.33,6180487499,701190000,7.0508943,1.2
NEM,150.0416667,Materials,36.61,26.34,0.8101539,-1.18,42.04,31.42,19749449484,1509000000,3.7076392,1.81
SYMC,150.0416667,Information Technology,25.59,39.37,1.1286682,-0.17,34.2,25.65,16520497264,1227000000,3.5516493,3.36
FTI,150.0416667,Energy,29.1,18.77,1.7060367,0,35,24.53,14163064455,540167833.4,1.561575,1.06
WFC,150.0416667,Financials,55.4,13.58,2.7111576,4.07,66.31,49.27,2.81E+11,0,2.8728192,1.58
XRX,150.0416667,Information Technology,29.8,8.87,3.207184,0.59,37.42,26.64,7938833340,1191000000,0.7877656,1.49
LNT,150.0833333,Utilities,37.14,19.86,3.5733333,1.65,45.55,36.84,8670163500,1168400000,3.4331481,2.13
BBY,150.0833333,Consumer Discretionary,68.79,19.22,1.9085041,3.81,78.59,41.67,20831186176,2555000000,0.76715523,4.79
CNP,150.0833333,Utilities,25.85,19.73,4.2109256,1,30.45,25.51,11362043297,2337000000,1.6262617,3.21
NAVI,150.0833333,Financials,13.38,7.56,4.5584044,1.01,16.97,11.481,3692691330,0,0.6986579,1.02
PNW,150.0833333,Utilities,74.34,16.06,3.698776,3.95,92.48,73.81,8397609889,1614399000,2.9931207,1.65
TSS,150.0833333,Information Technology,81.17,25.85,0.6091133,3.16,89.92,50.96,15694951118,1097534000,3.175548,6.57
WY,150.0833333,Real Estate,33.6,34.29,3.7079954,0.77,37.89,30.9504,26070297960,1365000000,3.6396794,2.9
ABT,150.25,Health Care,56.27,22.51,1.9089824,0.26,64.6,42.28,1.02E+11,5744000000,3.7404804,3.19
AEE,150.25,Utilities,52.59,20.38,3.4404964,2.68,64.89,51.81,12905744906,2298000000,2.693119,1.79
AIG,150.25,Financials,58.28,23.22,2.1167521,-0.76,67.3,57.85,54360073164,0,1.4686536,0.75
BHF,150.25,Financials,55.44,22.63,0,-24.62,75,52.751,7066613254,0,1.4188358,0.51
CCL,150.25,Consumer Discretionary,66.76,17.48,2.6041667,3.58,72.7,54.75,49180044050,4711000000,2.8147783,2
CINF,150.25,Financials,70.34,27.48,2.918904,3.55,81.98,68.24,11916533018,0,2.756679,1.6
DVA,150.25,Health Care,71.91,20.55,0,4.3,80.71,52.51,13685178000,2252294000,1.1451397,2.79
BEN,150.25,Financials,38,12.67,2.332657,3,47.65,37.01,21759187973,2711300000,3.399101,1.83
MGM,150.25,Consumer Discretionary,33.5,29.65,1.2687428,1.92,38.41,25.15,19633674337,2680385000,2.2276719,3.09
