Symbol,Compression Ratio,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book
AZO,160,Consumer Discretionary,718.57,16.31,0,44.09,797.89,491.13,19922021415,2347304000,1.8510429,136.23
ULTA,160.125,Consumer Discretionary,209.09,32.07,0,6.52,314.86,187.96,13300000127,1002093000,3.3779113,8.04
NVDA,160.2916667,Information Technology,217.52,82.08,0.26223776,2.57,249.27,95.17,1.39E+11,3098000000,20.094294,20.39
TDG,160.2916667,Industrials,283,23.76,0,7.92,321.38,203.72,15241203731,1635916000,4.268832,
STZ,160.4583333,Consumer Staples,208.73,30.92,0.9712818,8.71,229.5,152.01,41697453163,3033300000,5.145596,5.14
TMO,160.5,Health Care,198.73,21.84,0.3276319,5.6,226.44,151.69,83226586345,4751300000,4.015666,3.38
MCK,160.5416667,Health Care,150.23,11.68,0.8898776,22.74,178.86,133.82,31534840262,7232000000,0.15318617,2.68
UNH,160.5416667,Health Care,216.46,21.47,1.3284917,10.71,250.79,156.49,2.19E+11,17454000000,1.0903316,4.71
CRM,160.5833333,Information Technology,104.03,520.15,0,0.27,114.52,79.63,79489115000,925804000,10.3738785,8.81
CME,160.625,Financials,153.04,32.15,3.6828613,11.94,163,114.8176,54423298745,2851800000,14.881806,2.51
HUM,160.625,Health Care,262.37,22.39,0.6040015,4.06,293.35,189.01,36973617235,0,0.9256895,3.33
MLM,160.625,Materials,208.42,30.38,0.8042038,6.63,244.32,191.09,13756812736,975223000,4.416998,3.03
AMGN,160.6666667,Health Care,173.12,13.76,2.9751508,2.57,201.23,152.16,1.28E+11,11945000000,5.58192,3.91
FDX,160.6666667,Industrials,239.27,19.45,0.7963368,11.07,274.66,182.89,67280478816,8062000000,1.0751684,3.9
IBM,160.6666667,Information Technology,147.59,10.67,3.8999026,6.11,182.79,139.13,1.42E+11,16557000000,1.817167,7.7
RHT,160.6666667,Information Technology,124.65,79.9,0,1.68,135.77,78.48,22799923883,541809000,8.202077,15.69
URI,160.7083333,Industrials,161.99,16.33,0,15.72,189,100.621,14654954091,2760000000,2.1782618,4.53
WMT,160.7083333,Consumer Staples,100.02,23.1,1.983471,4.39,109.98,66.89,3.05E+11,30721000000,0.82099426,3.89
AAPL,160.75,Information Technology,155.15,16.86,1.5795412,9.2,180.1,131.12,8.10E+11,79386000000,3.4586093,5.66
MA,160.75,Information Technology,160.62,34.99,0.5926628,3.65,177.11,105.8,1.87E+11,7113000000,15.020556,26.93
BA,160.7916667,Industrials,329.66,27.29,1.9648397,13.47,361.45,163.69,2.06E+11,12476000000,2.1560605,182.86
