Symbol,Compression Ratio,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book
DPS,0.291666667,Consumer Staples,116.93,26.57,1.9661016,4.54,126.65,83.23,21209783858,1507000000,4.2149186,9.99
CA,0.541666667,Information Technology,32.66,14.32,3,1.85,36.56,30.45,14175422936,1613000000,3.3742425,2.44
CBG,0.541666667,Real Estate,41.92,15.82,0,1.69,46.6,30.43,14440591731,1652961000,1.4622321,3.74
CSRA,0.541666667,Information Technology,30.85,15.12,1.275917,1.83,33.79,27.38,5134501276,543000000,1.3324839,11.37
ESRX,0.541666667,Health Care,73.35,10.72,0,5.39,83.485,55.8,42449656350,7309300000,0.57588416,2.65
KORS,0.541666667,Consumer Discretionary,60.03,14.29,0,3.31,69.95,32.38,10053919023,456600000,3.1455927,5.4
SNI,0.541666667,Consumer Discretionary,86.46,16.04,1.3761468,5.18,88.87,64.87,11328642413,1351059000,4.374079,4.22
HCN,0.541666667,Real Estate,54.67,12.74,6.1538463,2.81,78.17,55.29,20943679019,1908253000,6.725218,1.49
PX,0.583333333,Materials,144.07,24.63,2.1998534,4.32,166.95,115.53,42948664203,3632000000,3.887915,6.88
PCLN,0.625,Consumer Discretionary,1806.06,24.26,0,42.66,2067.99,1589,91817448863,4803487000,9.176564,6.92
